Local de aplicação	Regional	UC	Comunidade	Município
Rural	Solimões	Resex Catuá-Ipixuna	DIvani Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/ RUA JOÃO DOS SANTOS	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/Rua João dos Santos	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/São Sebastião	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/São Sebastião	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catuá	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catuá	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catuá 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa senhora aparecida	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João Evangelista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São José	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São José 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fatima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fatima 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fatima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia Do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa  Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia lago do catuá 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia lago do catuá 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São  Sebastião Do Água Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água  Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espirito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espirito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espirito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Fé	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Fé 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Igarapé do Ipixuna/ Divino Espirito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espirito Santo	Tefé
Rural	Solimões		Caiambé/ João  dos Santos	Tefé
Rural	Solimões		Caiambé/João dos Santos 	Tefé
Rural	Solimões		Caiambé 	Tefé
Rural	Solimões		Caiambé/João dos Santos	Tefé
Rural	Solimões		Caiambé/São Sebastião 	Tefé
Rural	Solimões		Caiambé/São Sebastião 	Tefé
Rural	Solimões		Caiambé/São Sebastião 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João Do Catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São  João Do Catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Sofia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora Aparecida	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Nazaré	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Nazaré	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João Evanjelista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São José	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fátima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Massa Senhora de Fátima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fátima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fatima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro	Tefé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Morada Nova	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Puca	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extrema 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extrema 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	ATALAIA	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Atalaia	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Deus é por Nós	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Primeiro de Junho	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Prainha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Prainha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Prainha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Cuata	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Estirao	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Estiråo	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Fortaleza	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extremo	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extrema	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extrema	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Atalaia	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Atalaia	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Atalaia	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São João	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muxila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muxila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muxila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	PRAINHA	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Prainha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Localidade Recreio	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Prainha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Estirao	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Estirao 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Lago Grande	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Localidade Fortaleza	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Monte Alegre	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Nova Morada	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Futuro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Nova morada	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Nova Morada	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Puca	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Maravilha	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Santo Amaro	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Ubim	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Atalaia	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Localidade Santa Maria 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São João 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Floresta	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muchila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Mochila 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	São José 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muxila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri 	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Bacuri	Eirunepé
Rural	Juruá	Resex do Rio Gregório	1 Junho	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Muxila	Eirunepé
Rural	Juruá	Resex do Rio Gregório	Extremo	Eirunepé
Rural	Solimões	RDS Amanã	São Francisco do Cubuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do cubuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do Cubuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do Cabuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do Cubuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do Cubuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco do catuá	Maraã
Rural	Solimões	RDS Amanã	São Francisco	Maraã
Rural	Solimões	RDS Amanã	Santa Izabel	Maraã
Rural	Solimões	RDS Amanã	Santa Izabel	Maraã
Rural	Solimões	RDS Amanã	Nova olinda	Maraã
Rural	Solimões	RDS Amanã	Nova Olinda	Maraã
Rural	Solimões	RDS Amanã	Nova Olinda	Maraã
Rural	Solimões	RDS Amanã	Nova Olinda	Maraã
Rural	Solimões	RDS Amanã	Nova Olinda	Maraã
Rural	Solimões	RDS Amanã	Bom socorro	Maraã
Rural	Solimões	RDS Amanã	Bom Socorro	Maraã
Rural	Solimões	RDS Amanã	Ubim	Maraã
Rural	Solimões	RDS Amanã	Ubim	Maraã
Rural	Solimões	RDS Amanã	Acarazinho	Maraã
Rural	Solimões	RDS Amanã	Acarazinho 	Maraã
Rural	Solimões	RDS Amanã	Acarazinho	Maraã
Rural	Solimões	RDS Amanã	Acarázinho	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caimbe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caimbé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambe	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caimbé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caiambé	Maraã
Rural	Solimões		Vila de Caimbé	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Jutica	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambé	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambe	Maraã
Rural	Solimões		Caiambe	Maraã
